"","Ground","Shot","Date","Shot Weight (kg)","F","M","Total Nos Fish"
"1","St Helens",8,"12/07/2019",2500,91,108,199
"2","St Helens",15,"14/07/2019",200,80,47,127
"3","St Helens",16,"14/07/2019",18000,149,53,202
"4","St Helens",23,"16/07/2019",9000,181,24,205
"5","St Helens",24,"16/07/2019",10000,50,174,224
"6","St Helens",29,"17/07/2019",18000,214,5,219
"7","St Helens",30,"18/07/2019",4500,91,27,118
"8","St Patricks",5,"11/07/2019",2500,124,72,196
"9","St Patricks",11,"13/07/2019",800,114,80,194
"10","St Patricks",12,"13/07/2019",700,112,92,204
"11","St Patricks",19,"15/07/2019",8000,31,174,205
"12","St Patricks",20,"15/07/2019",1500,103,102,205
"13","St Patricks",28,"17/07/2019",2500,42,169,211
"14","St Helens Total",NA,NA,62200,856,438,1294
"15","St Patricks Total",NA,NA,16000,526,689,1215
"16","Survey Total",NA,NA,78200,1382,1127,2509
