"","year","St Helens_F","St Helens_F1","St Helens_M","St Helens_M1","St Patricks_F","St Patricks_F1","St Patricks_M","St Patricks_M1"
"1",1987,NA,NA,NA,NA,37,146,36,181
"2",1990,35,800,35,459,NA,NA,NA,NA
"3",1992,36,248,36,92,NA,NA,NA,NA
"4",1996,37,128,33,49,37,17,30,3
"5",1999,38,840,34,506,36,199,34,550
"6",2001,37,971,33,478,35,691,32,1352
"7",2002,38,59,36,77,35,332,34,612
"8",2004,35,1295,32,368,34,886,33,470
"9",2005,35,702,33,488,34,608,33,1193
"10",2006,34,1520,32,740,35,1394,33,1752
"11",2007,35,1064,32,672,35,362,33,690
"12",2008,35,1402,33,735,36,639,33,889
"13",2009,35,425,33,670,36,334,33,220
"14",2010,35,704,33,355,36,304,33,179
"15",2012,36,211,33,358,36,279,33,323
"16",2013,36,548,33,284,35,107,33,103
"17",2016,35,902,34,791,36,287,33,126
"18",2019,36,856,34,438,37,526,34,689
