"","Ground","Shot","fw","fsd","F","mw","msd","M"
"1","St Helens",8,1.73,0.25,91,1.34,0.18,108
"2","St Helens",15,1.59,0.25,80,1.29,0.22,47
"3","St Helens",16,1.71,0.28,149,1.28,0.2,53
"4","St Helens",23,1.62,0.27,181,1.26,0.17,24
"5","St Helens",24,1.82,0.29,50,1.36,0.24,174
"6","St Helens",29,1.58,0.24,214,1.05,0.19,5
"7","St Helens",30,NA,NA,91,NA,NA,27
"8","St Patricks",5,1.79,0.3,124,1.33,0.22,72
"9","St Patricks",11,1.74,0.28,114,1.33,0.2,80
"10","St Patricks",12,1.67,0.32,112,1.32,0.19,92
"11","St Patricks",19,1.57,0.28,31,1.34,0.18,174
"12","St Patricks",20,1.69,0.32,103,1.32,0.25,102
"13","St Patricks",28,1.6,0.28,42,1.3,0.18,169
