"","Ground","Shot","ShotWeight_kg","nos fish","F ratio","M ratio"
"1","St Helens",8,2500,199,0.46,0.54
"2","St Helens",15,200,127,0.63,0.37
"3","St Helens",16,18000,202,0.74,0.26
"4","St Helens",23,9000,205,0.88,0.12
"5","St Helens",24,10000,224,0.22,0.78
"6","St Helens",29,18000,219,0.98,0.02
"7","St Helens",30,4500,118,0.77,0.23
"8","St Patricks",5,2500,196,0.63,0.37
"9","St Patricks",11,800,194,0.59,0.41
"10","St Patricks",12,700,204,0.55,0.45
"11","St Patricks",19,8000,205,0.15,0.85
"12","St Patricks",20,1500,205,0.5,0.5
"13","St Patricks",28,2500,211,0.2,0.8
"14","St Helens",NA,NA,1294,0.66,0.34
"15","St Patricks",NA,NA,1215,0.43,0.57
"16",NA,NA,NA,2509,0.55,0.45
